Section,ServerName,SymbolCode,IsBookA,BidPrice,AskPrice,Volume,ContractSize,UpdateDateTime
UK,C2,AUDCAD,0,1.0183500,1.0191100,0.2600000,100000.00,5/6/2014 8:12:46 AM
UK,C2,AUDCAD,1,1.0183500,1.0191100,0.1400000,100000.00,5/6/2014 8:12:46 AM
UK,C2,AUDCHF,1,0.8139500,0.8147000,1.9400000,100000.00,5/6/2014 8:12:46 AM
UK,C2,AUDCHF,0,0.8139500,0.8147000,0.1600000,100000.00,5/6/2014 8:12:46 AM
UK,C2,AUDJPY,1,94.9130000,94.9670000,0.0700000,100000.00,5/6/2014 8:12:46 AM
US,C2,AUDJPY,0,94.9130000,94.9670000,-0.0900000,100000.00,5/6/2014 8:12:46 AM
US,C2,AUDJPY,1,94.9130000,94.9670000,-0.0100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,AUDNZD,0,1.0663000,1.0667300,-0.5800000,100000.00,5/6/2014 8:12:46 AM
UK,C2,AUDNZD,1,1.0663000,1.0667300,56.7100000,100000.00,5/6/2014 8:12:46 AM
US,C2,AUDNZD,1,1.0663000,1.0667300,11.9500000,100000.00,5/6/2014 8:12:46 AM
UK,C2,AUDUSD,0,0.9304800,0.9307500,-5.3600000,100000.00,5/6/2014 8:12:46 AM
UK,C2,AUDUSD,1,0.9304800,0.9307500,10.3600000,100000.00,5/6/2014 8:12:46 AM
US,C2,AUDUSD,0,0.9304800,0.9307500,-2.0100000,100000.00,5/6/2014 8:12:46 AM
US,C2,AUDUSD,1,0.9304800,0.9307500,183.8100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,B.M4,0,107.7900000,107.8400000,-19.7500000,1000.00,5/6/2014 8:12:46 AM
UK,C2,B.N4,0,107.1700000,107.2300000,0.4000000,1000.00,5/6/2014 8:12:46 AM
US,C2,CADCHF,0,0.7990300,0.7996800,0.0100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,CADCHF,1,0.7990300,0.7996800,3.3200000,100000.00,5/6/2014 8:12:46 AM
UK,C2,CADCHF,0,0.7990300,0.7996800,-0.0100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,CADJPY,1,93.1700000,93.2210000,-1.3000000,100000.00,5/6/2014 8:12:46 AM
UK,C2,CADJPY,0,93.1700000,93.2210000,-2.0200000,100000.00,5/6/2014 8:12:46 AM
